"mbtag","artist_id"
"european","AR1H1GY1187B991F17"
"finnish","AR1H7QV1187FB38157"
"finland","AR1H7QV1187FB38157"
"nordic metal","AR1H7QV1187FB38157"
"melodic death metal","AR1H7QV1187FB38157"
"melodic extreme metal","AR1H7QV1187FB38157"
"melodic metal","AR1H7QV1187FB38157"
"metal","AR1H7QV1187FB38157"
"américain","AR1HDG81187B9B3E57"
"indie pop","AR1HDG81187B9B3E57"
"usa","AR1HDG81187B9B3E57"
"american","AR1HDG81187B9B3E57"
"rock and indie","AR1HSHQ1187B9A2140"
"alternative country","AR1HSXL1187B9AE207"
"american","AR1HSXL1187B9AE207"
"scottish","AR1HTN71187B989C2D"
"folk","AR1HTN71187B989C2D"
"american","AR1I0OG1187B98AD2C"
"south african","AR1IA8J1187B991EDF"
"idm","AR1IDYQ1187B98E714"
"techno","AR1IDYQ1187B98E714"
"electro-industrial","AR1IDYQ1187B98E714"
"electronic","AR1IDYQ1187B98E714"
"german","AR1IDYQ1187B98E714"
"hip hop rnb and dance hall","AR1IJ1Z11C8A41500D"
"czech","AR1IVRT1187B99D88C"
"german","AR1JD6E1187FB5696C"
"jazz","AR1JD6E1187FB5696C"
"european","AR1JD6E1187FB5696C"
"cajun","AR1JGQT1187FB56878"
"rock and indie","AR1JLAW1187FB38508"
"power electronics","AR1JT4I1187B98FF47"
"washington dc","AR1KCOX1187FB4D2A9"
"finnish","AR1KGL11187B9A962C"
"minimal techno","AR1LKJN11C8A4212C5"
"downtempo","AR1LKJN11C8A4212C5"
"deep house","AR1LKJN11C8A4212C5"
"manolis zografakis","AR1LKJN11C8A4212C5"
"the sound of everything","AR1LKJN11C8A4212C5"
"electronica","AR1LKJN11C8A4212C5"
"chillout","AR1LKJN11C8A4212C5"
"progressive house","AR1LKJN11C8A4212C5"
"dance and electronica","AR1LKWI1187FB4F236"
"rock and indie","AR1LQCR1187B990060"
"world","AR1LT8R1187B9B7111"
"country","AR1LYBP1187FB3F510"
"folk","AR1LYBP1187FB3F510"
"finnish","AR1LYHY1187B997CE7"
"rock and indie","AR1MOZM1187FB4297C"
"hard rock","AR1MPEI1187B9ABB20"
"rock","AR1MPEI1187B9ABB20"
"rock and roll","AR1MPEI1187B9ABB20"
"uk","AR1NHBS1187FB4CA7D"
"british","AR1NHBS1187FB4CA7D"
"classic pop and rock","AR1NHBS1187FB4CA7D"
"punk","AR1NHBS1187FB4CA7D"
"alternative","AR1NHBS1187FB4CA7D"
"cardiff","AR1NHBS1187FB4CA7D"
"welsh","AR1NHBS1187FB4CA7D"
"wales","AR1NHBS1187FB4CA7D"
"rock and indie","AR1NJEP1187FB4F4C1"
"french","AR1NPHR1187FB44E18"
"bhangra","AR1NRA91187FB404C3"
"punjabi","AR1NRA91187FB404C3"
"usa","AR1NXT31187FB3A6FA"
"américain","AR1NXT31187FB3A6FA"
"american","AR1NXT31187FB3A6FA"
"post-hardcore","AR1NXT31187FB3A6FA"
"travis barker","AR1NXT31187FB3A6FA"
"united states","AR1NXT31187FB3A6FA"
"punk","AR1NXT31187FB3A6FA"
"pop and chart","AR1O4NH1187B98F0C9"
"classic pop and rock","AR1O7ZH1187B9A5621"
"united states","AR1O7ZH1187B9A5621"
