"term","artist_id"
"pop rap","AR014T71187B9B8756"
"hip house","AR014T71187B9B8756"
"deep house","AR014T71187B9B8756"
"progressive trance","AR014T71187B9B8756"
"hip hop","AR014T71187B9B8756"
"techno","AR014T71187B9B8756"
"funk","AR014T71187B9B8756"
"downtempo","AR014T71187B9B8756"
"reggae","AR014T71187B9B8756"
"dance","AR014T71187B9B8756"
"pop","AR014T71187B9B8756"
"italy","AR014T71187B9B8756"
"nederland","AR014T71187B9B8756"
"germany","AR014T71187B9B8756"
"electro house","AR014T71187B9B8756"
"vocal","AR014T71187B9B8756"
"sweden","AR014T71187B9B8756"
"rock","AR014T71187B9B8756"
"breakbeat","AR014T71187B9B8756"
"dj","AR014T71187B9B8756"
"latin","AR014T71187B9B8756"
"dutch","AR014T71187B9B8756"
"male","AR014T71187B9B8756"
"remix","AR014T71187B9B8756"
"french","AR014T71187B9B8756"
"club house","AR014T71187B9B8756"
"euro-house","AR014T71187B9B8756"
"amsterdam","AR014T71187B9B8756"
"funk soul","AR014T71187B9B8756"
"downtempo","AR015LY1187B98CCAF"
"bhangra","AR015LY1187B98CCAF"
"indian classical","AR015LY1187B98CCAF"
"future jazz","AR015LY1187B98CCAF"
"dub","AR015LY1187B98CCAF"
"trip hop","AR015LY1187B98CCAF"
"electronic","AR015LY1187B98CCAF"
"progressive trance","AR015LY1187B98CCAF"
"broken beat","AR015LY1187B98CCAF"
"chill-out","AR015LY1187B98CCAF"
"desi","AR015LY1187B98CCAF"
"chant","AR015LY1187B98CCAF"
"deep house","AR015LY1187B98CCAF"
"bossa nova","AR015LY1187B98CCAF"
"trance","AR015LY1187B98CCAF"
"tech house","AR015LY1187B98CCAF"
"hip hop","AR015LY1187B98CCAF"
"ambient","AR015LY1187B98CCAF"
"acid jazz","AR015LY1187B98CCAF"
"electronica","AR015LY1187B98CCAF"
"world music","AR015LY1187B98CCAF"
"tribal","AR015LY1187B98CCAF"
"experimental","AR015LY1187B98CCAF"
"abstract","AR015LY1187B98CCAF"
"drum and bass","AR015LY1187B98CCAF"
"jazz","AR015LY1187B98CCAF"
"house","AR015LY1187B98CCAF"
"united states","AR015LY1187B98CCAF"
"dance","AR015LY1187B98CCAF"
"world fusion","AR015LY1187B98CCAF"
"latin","AR015LY1187B98CCAF"
"world","AR015LY1187B98CCAF"
"indian","AR015LY1187B98CCAF"
"arabic","AR015LY1187B98CCAF"
"breakbeat","AR015LY1187B98CCAF"
"relax","AR015LY1187B98CCAF"
"instrumental","AR015LY1187B98CCAF"
"folk","AR015LY1187B98CCAF"
"beautiful","AR015LY1187B98CCAF"
"fusion","AR015LY1187B98CCAF"
"africa","AR015LY1187B98CCAF"
"ethnic","AR015LY1187B98CCAF"
"club dance","AR015LY1187B98CCAF"
"india","AR015LY1187B98CCAF"
"ethnic fusion","AR015LY1187B98CCAF"
"europop","AR015PN1187B993F3A"
"ballad","AR015PN1187B993F3A"
"chanson","AR015PN1187B993F3A"
"disco","AR015PN1187B993F3A"
"pop","AR015PN1187B993F3A"
"spanish","AR015PN1187B993F3A"
"spain","AR015PN1187B993F3A"
"eurovision","AR015PN1187B993F3A"
"eurovision song contest","AR015PN1187B993F3A"
"electronic","AR015PN1187B993F3A"
"latin","AR015PN1187B993F3A"
"eurosong","AR015PN1187B993F3A"
"big beat","AR016P51187B98E398"
"breakbeat","AR016P51187B98E398"
"trip hop","AR016P51187B98E398"
"dub","AR016P51187B98E398"
"downtempo","AR016P51187B98E398"
"turnablism","AR016P51187B98E398"
"chill-out","AR016P51187B98E398"
"jungle music","AR016P51187B98E398"
"future jazz","AR016P51187B98E398"
"hip hop","AR016P51187B98E398"
"electronic","AR016P51187B98E398"
"reggae","AR016P51187B98E398"
"funk","AR016P51187B98E398"
"electronica","AR016P51187B98E398"
"techno","AR016P51187B98E398"
"dance","AR016P51187B98E398"
"trance","AR016P51187B98E398"
"electro","AR016P51187B98E398"
"house","AR016P51187B98E398"
"indie rock","AR016P51187B98E398"
"world fusion","AR016P51187B98E398"
"electro dub","AR016P51187B98E398"
"drum and bass","AR016P51187B98E398"
"ambient","AR016P51187B98E398"
"90s","AR016P51187B98E398"
"african","AR016P51187B98E398"
"beats","AR016P51187B98E398"
"rock","AR016P51187B98E398"
"ninja tune","AR016P51187B98E398"
"tribal","AR016P51187B98E398"
"latin","AR016P51187B98E398"
"hardcore","AR016P51187B98E398"
"acid","AR016P51187B98E398"
"japan","AR016P51187B98E398"
"indian","AR016P51187B98E398"
"european","AR016P51187B98E398"
"conscious","AR016P51187B98E398"
"world groove","AR016P51187B98E398"
"ethnotechno","AR016P51187B98E398"
"indian vibes","AR016P51187B98E398"
"skinhead","AR016P51187B98E398"
"reggae","AR0174X1187B98E3E7"
"deathgrind","AR0174X1187B98E3E7"
"rock","AR0174X1187B98E3E7"
"tech house","AR0174X1187B98E3E7"
"heavy metal","AR0174X1187B98E3E7"
"industrial metal","AR0174X1187B98E3E7"
"punk","AR0174X1187B98E3E7"
"hard rock","AR0174X1187B98E3E7"
"gothic metal","AR0174X1187B98E3E7"
"progressive trance","AR0174X1187B98E3E7"
"trance","AR0174X1187B98E3E7"
"world","AR0174X1187B98E3E7"
"electro","AR0174X1187B98E3E7"
"hardcore","AR0174X1187B98E3E7"
"techno","AR0174X1187B98E3E7"
"electronic","AR0174X1187B98E3E7"
"spoken word","AR0174X1187B98E3E7"
"united states","AR0174X1187B98E3E7"
"house","AR0174X1187B98E3E7"
"belgium","AR0174X1187B98E3E7"
"texas","AR0174X1187B98E3E7"
"nederland","AR0174X1187B98E3E7"
"up beat","AR0174X1187B98E3E7"
"thrash metal","AR0174X1187B98E3E7"
"retro swing","AR0174X1187B98E3E7"
"diy","AR0174X1187B98E3E7"
"political punk","AR0174X1187B98E3E7"
"world beat","AR0174X1187B98E3E7"
"oregon","AR0174X1187B98E3E7"
"third wave ska revival","AR0174X1187B98E3E7"
"euro-house","AR0174X1187B98E3E7"
"alternative rock","AR0174X1187B98E3E7"
"electronic","AR018Y21187B98A462"
"downtempo","AR018Y21187B98A462"
"psychedelic trance","AR018Y21187B98A462"
"psychedelic","AR018Y21187B98A462"
"dark psytrance","AR018Y21187B98A462"
"goa","AR018Y21187B98A462"
"dark","AR018Y21187B98A462"
"ambient","AR018Y21187B98A462"
"indian","AR018Y21187B98A462"
"club","AR018Y21187B98A462"
"india","AR018Y21187B98A462"
"trance","AR018Y21187B98A462"
"death metal","AR018Y21187B98A462"
"techno","AR018Y21187B98A462"
"metal","AR018Y21187B98A462"
"dj","AR018Y21187B98A462"
"underground","AR018Y21187B98A462"
"goa trance","AR018Y21187B98A462"
"guitar","AR018Y21187B98A462"
"world","AR018Y21187B98A462"
"composer","AR018Y21187B98A462"
"fresh","AR018Y21187B98A462"
"new beat","AR01AEG1187B9B6070"
"disco","AR01AEG1187B9B6070"
"electropop","AR01AEG1187B9B6070"
"british pop","AR01AEG1187B9B6070"
"chill-out","AR01AEG1187B9B6070"
"electroclash","AR01AEG1187B9B6070"
"indietronica","AR01AEG1187B9B6070"
"soft rock","AR01AEG1187B9B6070"
"synthpop","AR01AEG1187B9B6070"
"electronic","AR01AEG1187B9B6070"
"trance","AR01AEG1187B9B6070"
"techno","AR01AEG1187B9B6070"
"indie pop","AR01AEG1187B9B6070"
"pop rock","AR01AEG1187B9B6070"
"electro","AR01AEG1187B9B6070"
"hip hop","AR01AEG1187B9B6070"
"pop","AR01AEG1187B9B6070"
"new wave","AR01AEG1187B9B6070"
"alternative rock","AR01AEG1187B9B6070"
"electronica","AR01AEG1187B9B6070"
"emo","AR01AEG1187B9B6070"
"singer-songwriter","AR01AEG1187B9B6070"
"dance","AR01AEG1187B9B6070"
"indie rock","AR01AEG1187B9B6070"
"house","AR01AEG1187B9B6070"
"sweden","AR01AEG1187B9B6070"
"rock","AR01AEG1187B9B6070"
"swedish","AR01AEG1187B9B6070"
"indie","AR01AEG1187B9B6070"
"experimental","AR01AEG1187B9B6070"
"scandinavia","AR01AEG1187B9B6070"
"party music","AR01AEG1187B9B6070"
"alternative","AR01AEG1187B9B6070"
"folk","AR01AEG1187B9B6070"
"80s","AR01AEG1187B9B6070"
"industrial","AR01AEG1187B9B6070"
"00s","AR01AEG1187B9B6070"
"vocal","AR01AEG1187B9B6070"
"male","AR01AEG1187B9B6070"
"twee","AR01AEG1187B9B6070"
"uplifting","AR01AEG1187B9B6070"
"nordic","AR01AEG1187B9B6070"
"techno","AR01B551187B9A923C"
"hard house","AR01B551187B9A923C"
"schranz","AR01B551187B9A923C"
"electronic","AR01B551187B9A923C"
"tech house","AR01B551187B9A923C"
"germany","AR01B551187B9A923C"
"minimal","AR01B551187B9A923C"
"acid","AR01B551187B9A923C"
"sweden","AR01B551187B9A923C"
"hardtechno","AR01B551187B9A923C"
"acid techno","AR01B551187B9A923C"
"tribal","AR01B551187B9A923C"
"united states","AR01B551187B9A923C"
"slovenia","AR01B551187B9A923C"
"soundtrack","AR01C201187B9B7F3D"
"easy listening","AR01C201187B9B7F3D"
"composer","AR01C201187B9B7F3D"
"game","AR01C201187B9B7F3D"
"movie score","AR01C201187B9B7F3D"
"movie soundtrack","AR01C201187B9B7F3D"
"film music","AR01C201187B9B7F3D"
"original score","AR01C201187B9B7F3D"
"sweden","AR01C201187B9B7F3D"
"electronic","AR01C201187B9B7F3D"
"beautiful","AR01C201187B9B7F3D"
"piano","AR01C201187B9B7F3D"
"california","AR01C201187B9B7F3D"
"modern","AR01C201187B9B7F3D"
"international","AR01C201187B9B7F3D"
